Virus_name_ORF_8_replacement_L84S,GISAID_ID,Lineage,GISAID_Clade,Location,Collection_date
hCoV-19/Korea/KCDC2047/2020,EPI_ISL_471453,A,S,Asia_/_South_Korea,20-FEB-2020
hCoV-19/DRC/04188/2020,EPI_ISL_471413,A,S,Africa_/_Democratic_Republic_of_the_Congo_/_Haut-Katanga,25-APR-2020
hCoV-19/DRC/04187/2020,EPI_ISL_471412,A,S,Africa_/_Democratic_Republic_of_the_Congo_/_Haut-Katanga,25-APR-2020
hCoV-19/DRC/04186/2020,EPI_ISL_471411,A,S,Africa_/_Democratic_Republic_of_the_Congo_/_Haut-Katanga,25-APR-2020
hCoV-19/USA/WI-WSLH-200102/2020,EPI_ISL_471266,A.1,S,North_America_/_USA_/_Wisconsin,2020/03/31
hCoV-19/USA/WI-WSLH-200094/2020,EPI_ISL_471258,A.3,S,North_America_/_USA_/_Wisconsin,2020/03/26
hCoV-19/USA/WI-WSLH-200088/2020,EPI_ISL_471252,A.1,S,North_America_/_USA_/_Wisconsin,2020/03/17
hCoV-19/USA/WI-WSLH-200078/2020,EPI_ISL_471243,A.1,S,North_America_/_USA_/_Wisconsin,3-APR-2020
hCoV-19/USA/WI-WSLH-200075/2020,EPI_ISL_471240,A.4,S,North_America_/_USA_/_Wisconsin,3-APR-2020
hCoV-19/USA/WI-WSLH-200062/2020,EPI_ISL_471227,A.4,S,North_America_/_USA_/_Wisconsin,2-APR-2020
hCoV-19/USA/WI-WSLH-200061/2020,EPI_ISL_471226,A.3,S,North_America_/_USA_/_Wisconsin,13-APR-2020
hCoV-19/USA/WI-WSLH-200057/2020,EPI_ISL_471222,A.2,S,North_America_/_USA_/_Wisconsin,2020/03/21
hCoV-19/USA/WI-WSLH-200048/2020,EPI_ISL_471213,A.3,S,North_America_/_USA_/_Wisconsin,2020/03/22
hCoV-19/USA/WI-WSLH-200038/2020,EPI_ISL_471203,A.4,S,North_America_/_USA_/_Wisconsin,2020/03/27
hCoV-19/Australia/WA55/2020,EPI_ISL_470872,A.2,S,Oceania_/_Australia_/_Western_Australia,2020/03/22
hCoV-19/Australia/WA52/2020,EPI_ISL_470869,A.2,S,Oceania_/_Australia_/_Western_Australia,2020/03/20
hCoV-19/Australia/WA51/2020,EPI_ISL_470868,A.2,S,Oceania_/_Australia_/_Western_Australia,2020/03/20
hCoV-19/Australia/WA50/2020,EPI_ISL_470867,A.2,S,Oceania_/_Australia_/_Western_Australia,2020/03/25
hCoV-19/Australia/WA48/2020,EPI_ISL_470865,A.2,S,Oceania_/_Australia_/_Western_Australia,2020/03/25
hCoV-19/Australia/WA47/2020,EPI_ISL_470864,A.2,S,Oceania_/_Australia_/_Western_Australia,2020/03/24
hCoV-19/Australia/WA46/2020,EPI_ISL_470863,A.2,S,Oceania_/_Australia_/_Western_Australia,2020/03/27
hCoV-19/Australia/WA39/2020,EPI_ISL_470856,A.2,S,Oceania_/_Australia_/_Western_Australia,2020/03/21
hCoV-19/Australia/WA32/2020,EPI_ISL_470849,A.2,S,Oceania_/_Australia_/_Western_Australia,2020/03/26
hCoV-19/Australia/WA29/2020,EPI_ISL_470846,A.2,S,Oceania_/_Australia_/_Western_Australia,2020/03/21
hCoV-19/Australia/WA28/2020,EPI_ISL_470845,A.2,S,Oceania_/_Australia_/_Western_Australia,2020/03/20
hCoV-19/Australia/WA22/2020,EPI_ISL_470840,A.2,S,Oceania_/_Australia_/_Western_Australia,2020/03/24
hCoV-19/Australia/WA14/2020,EPI_ISL_470832,A.2,S,Oceania_/_Australia_/_Western_Australia,5-APR-2020
hCoV-19/USA/UT-03872/2020,EPI_ISL_470728,A.1,S,North_America_/_USA_/_Utah,8-APR-2020
hCoV-19/USA/UT-01846/2020,EPI_ISL_470688,A.1,S,North_America_/_USA_/_Utah,13-APR-2020
hCoV-19/USA/UT-01837/2020,EPI_ISL_470680,A.1,S,North_America_/_USA_/_Utah,13-APR-2020
hCoV-19/England/CAMB-803C3/2020,EPI_ISL_470526,A.5,S,Europe_/_United_Kingdom_/_England,9-APR-2020
hCoV-19/Scotland/GCVR-171F2A/2020,EPI_ISL_470010,A.2,S,Europe_/_United_Kingdom_/_Scotland,2020/03/31
hCoV-19/Scotland/GCVR-1724EE/2020,EPI_ISL_470003,A.2,S,Europe_/_United_Kingdom_/_Scotland,2020/03/30
hCoV-19/Scotland/GCVR-17219C/2020,EPI_ISL_470000,A.2,S,Europe_/_United_Kingdom_/_Scotland,2020/03/30
hCoV-19/Scotland/GCVR-172105/2020,EPI_ISL_469997,A.2,S,Europe_/_United_Kingdom_/_Scotland,2020/03/31
hCoV-19/Scotland/GCVR-1721AB/2020,EPI_ISL_469973,A.2,S,Europe_/_United_Kingdom_/_Scotland,2020/03/30
